iter	RMSE
0	28.51932422
1	27.1125299
2	25.79988102
3	24.535858
4	23.38760836
5	22.24452838
6	21.16275988
7	20.11471487
8	19.13094233
9	18.1916234
10	17.29840557
11	16.46355869
12	15.66053584
13	14.91129984
14	14.2106377
15	13.53291454
16	12.88432175
17	12.28523117
18	11.69565466
19	11.11919623
20	10.58969582
21	10.10195047
22	9.62154298
23	9.159968334
24	8.738651179
25	8.324352127
26	7.930584859
27	7.551334836
28	7.213685614
29	6.888847224
30	6.570865455
31	6.269942018
32	5.986832829
33	5.711488528
34	5.454693259
35	5.207956604
36	4.976161343
37	4.755851605
38	4.538150826
39	4.334733781
40	4.14690242
41	3.966780079
42	3.803364468
43	3.643206626
44	3.49628573
45	3.350823587
46	3.213254057
47	3.085677886
48	2.960335028
49	2.843262634
50	2.729375418
51	2.623538454
52	2.523046879
53	2.433103877
54	2.343285147
55	2.261810695
56	2.182659997
57	2.101305326
58	2.030029333
59	1.96282475
60	1.899977153
61	1.837069451
62	1.775813008
63	1.720434321
64	1.665708265
65	1.615514543
66	1.572501024
67	1.529620001
68	1.489128339
69	1.447288641
70	1.408694001
71	1.372258435
72	1.338146626
73	1.306977842
74	1.282708279
75	1.252607781
76	1.22403407
77	1.197389493
78	1.172262386
79	1.153048812
80	1.129834264
81	1.107418458
82	1.086889285
83	1.064769589
84	1.045482381
85	1.029003073
86	1.015263052
87	1.000084338
88	0.9848100653
89	0.9698337648
90	0.9567053662
91	0.9442028612
92	0.9311731329
93	0.9182296996
94	0.9058741628
95	0.8941722928
96	0.8848206642
97	0.8772432226
98	0.869518938
99	0.8622914076
100	0.8532759326
101	0.8450717029
102	0.8380005127
103	0.8301870656
104	0.8228890655
105	0.8143028158
106	0.804987952
107	0.798080116
108	0.7905168604
109	0.784370221
110	0.7782765044
111	0.771541592
112	0.7666641442
113	0.7613583712
114	0.7566341812
115	0.7518196394
116	0.7460285732
117	0.741969801
118	0.7343226493
119	0.7298151786
120	0.7246926701
121	0.7208244415
